Real MEDV values	predicted MEDV values
[22.6]	[26.28587773]
[50.]	[24.25377886]
[23.]	[24.42060228]
[8.3]	[13.11754087]
[21.2]	[22.49511785]
[19.9]	[22.99636043]
[20.6]	[21.40735689]
[18.7]	[23.1439176]
[16.1]	[15.86631602]
[18.6]	[24.49894913]
[8.8]	[15.66714802]
[17.2]	[18.85052667]
[14.9]	[19.48253539]
[10.5]	[3.98290593]
[50.]	[37.34092175]
[29.]	[31.60596506]
[23.]	[23.5941266]
[33.3]	[33.2950621]
[29.4]	[28.69055638]
[21.]	[22.88162089]
[23.8]	[26.85271393]
[19.1]	[20.89975988]
[20.4]	[20.81250528]
[29.1]	[27.14537125]
[19.3]	[21.08017113]
[23.1]	[9.74333537]
[19.6]	[20.15512287]
[19.4]	[17.56350171]
[38.7]	[37.2052103]
[18.7]	[18.6688415]
[14.6]	[18.528333]
[20.]	[20.17796936]
[20.5]	[23.8988013]
[20.1]	[21.75587854]
[23.6]	[25.59651746]
[16.8]	[18.79694526]
[5.6]	[11.792485]
[50.]	[22.93730323]
[14.5]	[19.61654119]
[13.3]	[14.43528526]
[23.9]	[24.42127312]
[20.]	[19.031016]
[19.8]	[24.1741034]
[13.8]	[14.58361474]
[16.5]	[26.48547198]
[21.6]	[25.55656793]
[20.3]	[17.94458882]
[17.]	[20.14812616]
[11.8]	[4.60378383]
[27.5]	[26.93655721]
[15.6]	[20.33112961]
[23.1]	[16.17879073]
[24.3]	[21.66465634]
[42.8]	[38.61474899]
[15.6]	[16.81321483]
[21.7]	[18.53552994]
[17.1]	[19.74880245]
[17.2]	[20.57255588]
[15.]	[21.52884614]
[21.7]	[17.87655368]
[18.6]	[23.69717903]
[21.]	[21.63170868]
[33.1]	[31.22593617]
[31.5]	[29.7494804]
[20.1]	[18.25853524]
[29.8]	[29.24595764]
[15.2]	[21.12607982]
[15.]	[17.92429807]
[27.5]	[20.78992128]
[22.6]	[21.71570023]
[20.]	[22.97757512]
[21.4]	[24.99783344]
[23.5]	[27.81490106]
[31.2]	[30.83789397]
[23.7]	[28.15437976]
[7.4]	[3.33100173]
[48.3]	[38.28491117]
[24.4]	[23.87265013]
[22.6]	[25.75226475]
[18.3]	[19.10463599]
[23.3]	[27.66100495]
[17.1]	[22.15569627]
[27.9]	[19.44459838]
[44.8]	[38.2575432]
[50.]	[40.28168071]
[23.]	[26.95797635]
[21.4]	[22.79754092]
[10.2]	[18.28295735]
[23.3]	[27.15743541]
[23.2]	[17.36560521]
[18.9]	[19.12642427]
[13.4]	[17.36482773]
[21.9]	[25.6406479]
[24.8]	[29.86634153]
[11.9]	[24.38415764]
[24.3]	[23.94433052]
[13.8]	[-4.98960906]
[24.7]	[27.56960076]
[14.1]	[20.1999214]
[18.7]	[19.45605672]
[28.1]	[25.16436307]
[19.8]	[23.77735883]
